Month,bowling: (Community of Madrid)
2015-10,84
2015-11,59
2015-12,51
2016-01,69
2016-02,51
2016-03,68
2016-04,46
2016-05,37
2016-06,36
2016-07,39
2016-08,51
2016-09,47
2016-10,55
2016-11,65
2016-12,34
2017-01,58
2017-02,87
2017-03,52
2017-04,77
2017-05,37
2017-06,44
2017-07,43
2017-08,81
2017-09,25
2017-10,57
2017-11,67
2017-12,45
2018-01,82
2018-02,54
2018-03,86
2018-04,67
2018-05,62
2018-06,58
2018-07,38
2018-08,43
2018-09,74
2018-10,63
2018-11,86
2018-12,70
2019-01,89
2019-02,66
2019-03,73
2019-04,100
2019-05,63
2019-06,63
2019-07,38
2019-08,76
2019-09,65
2019-10,61
2019-11,72
2019-12,88
2020-01,77
2020-02,61
2020-03,34
2020-04,27
2020-05,33
2020-06,22
2020-07,43
2020-08,43
2020-09,48
2020-10,60
2020-11,54
2020-12,65
2021-01,30
2021-02,46
2021-03,60
2021-04,68
2021-05,42
